date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-05-16,TX,202406,21465.0,21556.0,21326.0,21370.0,127.0,0.6,104856,21372.0,21064.4,20829.3,20444.35,20266.54,,68.74096680026452,21451.648818623395,20444.35,19437.051181376602,286.6621783337687,203.22450788808771,83.43767044568096,272.66107686066533,1141.0
2024-05-17,TX,202406,21303.0,21407.0,21288.0,21336.0,-36.0,-0.17,71837,21335.0,21169.8,20924.7,20493.25,20305.48,,67.72797957084276,21571.490580761085,20493.25,19415.009419238915,306.6391859814321,223.90744350675658,82.73174247467551,261.6852856563321,1141.0
2024-05-20,TX,202406,21435.0,21485.0,21153.0,21302.0,-33.0,-0.15,109398,21299.0,21253.6,20994.7,20581.05,20341.34,,66.6699371909195,21621.783486537286,20581.05,19540.316513462712,316.0839733295288,242.34274947131104,73.74122385821778,266.7077652523084,1484.0
2024-05-21,TX,202406,21324.0,21350.0,21165.0,21277.0,-22.0,-0.1,74973,21282.0,21306.4,21057.4,20668.7,20372.7,,65.8552866262098,21630.88212413234,20668.7,19706.517875867663,317.8873369403809,257.451666965125,60.435669975255905,260.8714963057149,1852.0
2024-05-22,TX,202406,21293.0,21613.0,21283.0,21583.0,301.0,1.41,95352,21581.0,21373.6,21143.2,20764.0,20408.54,,70.59196056691113,21691.340929755635,20764.0,19836.659070244365,340.08783735412,273.978901042924,66.10893631119598,266.23781799816385,1795.0
2024-05-23,TX,202406,21630.0,21661.0,21492.0,21604.0,23.0,0.11,85458,21605.0,21420.4,21242.4,20835.7,20446.32,,70.89040857196817,21789.613224565033,20835.7,19881.786775434968,355.280960614411,290.2393129572214,65.04164765718963,259.29225956972357,1606.0
2024-05-24,TX,202406,21448.0,21617.0,21414.0,21565.0,-40.0,-0.19,74314,21568.0,21466.2,21318.0,20919.7,20478.52,,69.48016717644633,21818.218803364718,20919.7,20021.181196635283,360.0245077771506,304.1963519212072,55.82815585594335,255.2713838861719,1181.0
2024-05-27,TX,202406,21670.0,21917.0,21655.0,21875.0,307.0,1.42,88063,21870.0,21580.8,21417.2,21004.55,20517.48,,73.9211245933696,21927.064926708485,21004.55,20082.035073291514,384.3674634428062,320.230574225527,64.13688921727919,262.1805707514453,868.0
2024-05-28,TX,202406,21892.0,21994.0,21845.0,21954.0,84.0,0.38,71888,21951.0,21716.2,21511.3,21074.65,20557.78,,74.92257063689527,22059.89540597749,21074.65,20089.40459402251,405.36131801341617,337.25672298310485,68.10459503031132,254.09624426919922,918.0
2024-05-29,TX,202406,21865.0,21907.0,21720.0,21722.0,-229.0,-1.04,85938,21730.0,21744.0,21558.8,21140.1,20597.62,,66.80887968161203,22114.69220189794,21140.1,20165.50779810206,398.6828699645921,349.5419523794023,49.14091758518981,252.6607982499707,1071.0
2024-05-30,TX,202406,21512.0,21553.0,21368.0,21391.0,-339.0,-1.56,100242,21395.0,21701.4,21560.9,21195.1,20627.06,,57.27827578167163,22092.945175963134,21195.1,20297.254824036863,362.50251471307274,352.13406484613637,10.368449866936373,259.8993126606871,1592.0
2024-05-31,TX,202406,21505.0,21583.0,21253.0,21285.0,-110.0,-0.51,130856,21288.0,21645.4,21555.8,21240.25,20655.42,,54.5924291772849,22057.17224232178,21240.25,20423.32775767822,321.56915929136085,346.02108373518126,-24.451924443820417,264.90650461349514,1706.0
2024-06-03,TX,202406,21469.0,21698.0,21424.0,21654.0,366.0,1.72,116258,21655.0,21601.2,21591.0,21292.85,20691.84,,61.38125424820144,22073.27303272016,21292.85,20512.426967279836,315.27015821405075,339.87089863095514,-24.600740416904387,275.4846114268169,1177.0
2024-06-04,TX,202406,21560.0,21574.0,21284.0,21320.0,-335.0,-1.55,111097,21327.0,21474.4,21595.3,21326.35,20712.96,19625.07,53.573578171617065,22048.892254819868,21326.35,20603.80774518013,280.0983464501842,327.91638819480096,-47.81804174461678,282.2357106106157,1865.0
