Date,aapl,aapl_sma20,aapl_sma50,aapl_sma100,aapl_sma150,upperband_5day,middleband_5day,lowerband_5day,macd,macdsignal,macdhist
2023-01-13,133.65887451171875,129.9018196105957,138.372236328125,143.99380813598634,146.05420939127603,134.92584458104776,131.4252685546875,127.92469252832726,-2.30303257432044,-3.4492820257864487,1.1462494514660087
2023-01-17,134.8292236328125,129.8740478515625,138.19668670654298,143.68621154785157,146.0490980021159,136.01927507263412,132.5738067626953,129.1283384527565,-1.7907919110403725,-3.1175840028372335,1.326792091796861
2023-01-18,134.10520935058594,129.90876235961915,138.12844909667967,143.36840438842773,146.07376841227213,135.41300133056325,133.46249084472657,131.5119803588899,-1.426811996100696,-2.779429601489926,1.3526176053892298
2023-01-19,134.16468811035156,130.05257568359374,138.06675689697266,143.02643753051757,146.09303446451824,135.48766744775463,133.81557922363282,132.14349099951102,-1.1206378369375614,-2.4476712485794527,1.3270334116418914
2023-01-20,136.74343872070312,130.32879867553712,138.04592803955077,142.77372909545898,146.11189127604166,136.87590027928997,134.70028686523438,132.52467345117878,-0.662274696745385,-2.090591938212639,1.428317241467254
2023-01-23,139.95701599121094,130.6094886779785,138.07786560058594,142.57533645629883,146.18757151285809,140.38999067777752,135.9599151611328,131.5298396444881,-0.03925724399880437,-1.6803249993698721,1.6410677553710677
2023-01-24,141.36538696289062,131.12028121948242,138.22981353759766,142.41548492431642,146.26275258382162,143.19527314335778,137.26714782714845,131.33902251093912,0.5616579004123992,-1.231928419413418,1.793586319825817
2023-01-25,140.7008514404297,131.61619491577147,138.13043243408202,142.26572204589843,146.30509165445963,144.02835701369835,138.58627624511718,133.144195476536,0.9730483234395422,-0.7909330708428259,1.763981394282368
2023-01-26,142.78370666503906,132.3070053100586,138.01657104492188,142.12946075439453,146.36474426269533,144.3330925776662,140.3100799560547,136.28706733444318,1.450427580783611,-0.3426609405175386,1.7930885213011494
2023-01-27,144.7375946044922,133.29337959289552,137.9699548339844,142.03402725219726,146.418173828125,145.29493402625138,141.9089111328125,138.52288823937363,1.9637792837784218,0.11862710434165347,1.8451521794367682
2023-01-30,141.83155822753906,133.95741004943847,137.8303057861328,141.92220794677735,146.4298825073242,145.0873524802034,142.28381958007813,139.48028667995285,2.1117780947008384,0.5172573024134904,1.5945207922873479
2023-01-31,143.11099243164062,134.66954383850097,137.74104125976564,141.80902328491212,146.4501207478841,145.324559467959,142.63294067382813,139.94132187969726,2.305728859201423,0.874951613771077,1.4307772454303462
2023-02-01,144.24169921875,135.67922668457032,137.63610565185547,141.72199829101564,146.50571584065756,145.4202695438984,143.3411102294922,141.26195091508598,2.5216073060387885,1.2042827522246193,1.3173245538141691
2023-02-02,149.58766174316406,136.89223403930663,137.62678314208983,141.65961853027343,146.58515075683593,149.98232361129968,144.7019012451172,139.42147887893472,3.0884651246704493,1.5811192267137852,1.507345897956664
2023-02-03,153.23757934570312,138.35419006347655,137.75552307128908,141.57373291015625,146.70546478271484,155.03949758010395,146.4018981933594,137.76429880661482,3.7885498326365905,2.022605347898346,1.7659444847382444
2023-02-06,150.49020385742188,139.4506576538086,137.7862698364258,141.55533248901367,146.7928944905599,155.83256028063386,148.13362731933594,140.43469435803803,4.074711034027672,2.4330264851242114,1.6416845489034606
2023-02-07,153.3863525390625,140.66564865112304,137.85728454589844,141.55133743286132,146.88229451497395,156.84239707243668,150.1886993408203,143.53500160920393,4.483507755772337,2.8431227392538365,1.6403850165185
2023-02-08,150.67864990234375,141.71649169921875,137.93286163330077,141.5493768310547,146.94467803955078,154.56490687710934,151.47608947753906,148.3872720779688,4.53669691140928,3.181837573684925,1.3548593377243545
2023-02-09,149.63722229003906,142.5783905029297,138.06477447509766,141.55353790283203,146.97750762939452,154.55073950531755,151.48600158691406,148.42126366851056,4.443592230526065,3.434188505053153,1.0094037254729118
