date,futures_id,contract_date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,profit_or_loss_after_20_days
2024-06-17,TX,202406,22430.0,22554.0,22420.0,22477.0,-33.0,-0.15,91913,22477.0,22231.0,21936.4,21746.1,20996.46,19983.15,18450.94,69.18625300907402,22487.761351292094,21746.1,21004.438648707903,380.9531821614437,328.09960069353065,52.853581467913045,274.05104372579405,1376.0
2024-06-18,TX,202406,22726.0,22812.0,22666.0,22786.0,309.0,1.37,98310,22786.0,22428.6,22049.6,21820.3,21045.2,20036.12,18483.115,72.76149238343284,22659.866816876453,21820.3,20980.733183123546,417.1501524525702,345.90971104533855,71.24044140723163,278.40454060252307,1216.0
2024-06-19,TX,202407,22883.0,23172.0,22848.0,23129.0,457.0,2.02,71704,23135.0,22645.2,22230.5,21912.9,21098.78,20091.82,18516.755,76.07932429269884,22889.668938899937,21912.9,20936.131061100066,468.11757758148815,370.3512843525685,97.76629322891966,286.0899305594857,643.0
2024-06-20,TX,202407,23153.0,23380.0,23106.0,23378.0,243.0,1.05,90192,23377.0,22856.2,22422.0,22002.65,21148.86,20152.27,18550.85,78.15916563305873,23155.64354291336,22002.65,20849.656457086643,522.577895530565,400.7966065881678,121.78128894239723,285.226364090951,5.0
2024-06-21,TX,202407,23034.0,23291.0,23025.0,23210.0,-167.0,-0.71,98199,23207.0,22996.0,22555.5,22082.95,21196.04,20212.02,18583.105,73.51480243184906,23333.292429096855,22082.95,20832.607570903147,545.889222749578,429.81512982044984,116.0740929291282,290.0673380844545,-301.0
2024-06-24,TX,202407,23050.0,23073.0,22708.0,22746.0,-461.0,-1.99,125022,22754.0,23049.8,22640.4,22142.0,21235.9,20266.68,18614.73,62.47317214550955,23400.44395981706,22142.0,20883.55604018294,520.9178782886956,448.035679514099,72.88219877459665,305.2053853641363,-367.0
2024-06-25,TX,202407,22608.0,22776.0,22410.0,22743.0,-11.0,-0.05,126047,22747.0,23041.2,22734.9,22185.4,21275.66,20317.33,18645.995,62.40790629870181,23463.730692739427,22185.4,20907.069307260575,495.1777323060851,457.4640900724962,37.71364223358887,309.5478578381266,87.0
2024-06-26,TX,202407,22806.0,23005.0,22744.0,22872.0,125.0,0.55,113347,22876.0,22989.8,22817.5,22231.3,21322.94,20367.88,18677.235,64.14260591405741,23538.693146685477,22231.3,20923.906853314522,479.658498475761,461.9029717531492,17.75552672261182,306.15158227826043,-777.0
2024-06-27,TX,202407,22614.0,22822.0,22555.0,22793.0,-83.0,-0.36,83796,22797.0,22872.8,22864.5,22284.85,21379.74,20417.11,18707.58,62.24818480763248,23592.1489367395,22284.85,20977.551063260496,455.7313665747897,460.6686507174773,-4.937284142687588,306.9264692583847,-532.0
2024-06-28,TX,202407,22908.0,23117.0,22793.0,22983.0,186.0,0.82,103428,22980.0,22827.4,22911.7,22364.45,21435.7,20467.91,18739.355,64.93084932340733,23637.78223865573,22364.45,21091.11776134427,446.9482134720347,457.9245632683888,-10.9763497963541,308.1460071685001,-737.0
