date,open,high,low,close,spread,spread_per,volume,settlement_price,SMA_5,SMA_10,SMA_20,SMA_50,SMA_100,SMA_200,rsi,bbands_upperband,bbands_middleband,bbands_lowerband,macd_macd,macd_macdsignal,macd_macdhist,atr,stoch_slowk,stoch_slowd,profit_or_loss_after_20_days
2020-09-08,12657.0,12695.0,12610.0,12667.0,87.0,0.69,110554,12667.0,12655.6,12680.3,12686.9,12447.52,11722.92,11467.915,52.693213830393724,12949.706316514816,12686.9,12424.093683485184,54.600428498006295,87.37296674051908,-32.77253824251278,193.0886988824509,26.104417670682455,33.76055230153798,206.0
2020-09-09,12545.0,12606.0,12434.0,12598.0,-69.0,-0.54,153591,12598.0,12637.0,12660.9,12684.05,12468.56,11743.29,11473.625,49.93419054919633,12949.402199915661,12684.05,12418.697800084337,45.45885011308201,78.99014341503167,-33.53129330194966,195.93950610513298,31.28665605819477,29.6578390823418,322.0
2020-09-10,12669.0,12706.0,12622.0,12699.0,101.0,0.8,111296,12698.0,12630.4,12654.8,12682.85,12488.64,11765.52,11479.46,53.75148317707106,12947.703374530027,12682.85,12417.996625469974,45.835575308790794,72.3592297937835,-26.523654484992704,189.65811281190918,46.336856861407625,34.57597686342829,220.0
2020-09-11,12658.0,12689.0,12606.0,12661.0,-37.0,-0.29,114638,12663.0,12641.4,12651.8,12676.5,12505.1,11790.15,11484.8,52.140696798561336,12937.019097188762,12676.5,12415.980902811238,42.577048606752214,66.40279355637725,-23.825744949625033,182.7539618967728,51.57232704402489,43.06527998787576,227.0
2020-09-14,12694.0,12797.0,12678.0,12785.0,122.0,0.96,127791,12784.0,12682.0,12671.2,12668.0,12519.5,11815.75,11490.505,56.700566970015366,12901.287805082151,12668.0,12434.712194917849,49.430601206502615,63.00835508640232,-13.577753879899703,179.41439318986048,66.27358490566012,54.727589603697545,55.0
2020-09-15,12768.0,12855.0,12756.0,12840.0,56.0,0.44,108510,12843.0,12716.6,12686.1,12666.25,12535.76,11841.23,11496.7,58.58536837470963,12893.75373623316,12666.25,12438.74626376684,58.624346391987274,62.13155334751931,-3.507206955532034,173.6705079620133,77.35849056603747,65.0681341719075,-95.0
2020-09-16,12886.0,12932.0,12862.0,12905.0,123.0,0.96,62201,12903.0,12778.0,12707.5,12674.0,12551.36,11867.58,11503.505,60.75934554718816,12922.022579617356,12674.0,12425.977420382644,70.34452456988038,63.77414759199152,6.570376977888856,167.83690025044092,91.03868303402261,78.22358616857342,-9.0
2020-09-17,12855.0,12908.0,12772.0,12816.0,-87.0,-0.67,119751,12815.0,12801.4,12715.9,12699.55,12564.74,11890.27,11509.805,56.39421659281757,12888.50658231465,12699.55,12510.593417685348,71.62563824692006,65.34444572297723,6.281192523942835,165.562835946838,89.01328584779343,85.80348648261786,40.0
2020-09-18,12839.0,12866.0,12773.0,12835.0,20.0,0.16,95760,12833.0,12836.2,12738.8,12714.15,12581.46,11912.8,11516.155,57.10275222837124,12897.506783348852,12714.15,12530.793216651147,73.32878271472146,66.94131312132608,6.38746959339538,160.37977623634956,83.93574297188728,87.99590395123447,-29.0
2020-09-21,12820.0,12877.0,12655.0,12659.0,-174.0,-1.36,140049,12659.0,12811.0,12746.5,12716.9,12590.54,11932.32,11521.36,49.13789646237572,12895.14466331446,12716.9,12538.655336685539,59.78761347764703,65.51057319259027,-5.722959714943244,164.78122079089601,67.46987951807202,80.13963611258427,178.0
2020-09-22,12627.0,12655.0,12481.0,12507.0,-152.0,-1.2,130601,12509.0,12744.4,12730.5,12705.4,12596.92,11947.95,11525.66,43.49530210736911,12905.332388571833,12705.4,12505.467611428166,36.371738850562906,59.682806324184796,-23.31106747362189,165.72541930583202,43.82259266185187,65.07607171727042,332.0
2020-09-23,12553.0,12563.0,12441.0,12528.0,19.0,0.15,117910,12528.0,12669.0,12723.5,12692.2,12605.86,11967.08,11530.23,44.44448486025586,12902.129130899,12692.2,12482.270869101001,19.28668905611812,51.60358287057146,-32.31689381445334,162.60217506970116,22.888210189668502,44.726894123197496,330.0
2020-09-24,12407.0,12414.0,12166.0,12175.0,-353.0,-2.82,171038,12180.0,12540.8,12671.1,12662.95,12608.72,11981.58,11533.78,34.08078248338719,12968.28226164289,12662.95,12357.617738357112,-22.478369205126,36.78719245543196,-59.265561660557964,176.84487685043678,8.219614134429271,24.976805661983246,632.0
2020-09-25,12265.0,12309.0,12114.0,12195.0,15.0,0.12,128504,12195.0,12412.8,12624.5,12638.15,12611.84,11996.03,11537.245,35.00550955642523,13004.763843164763,12638.15,12271.536156835236,-53.34867560119892,18.760018844105787,-72.1086944453047,178.14167136111988,9.598692050569625,13.568838791555828,544.0
2020-09-28,12292.0,12421.0,12246.0,12417.0,222.0,1.82,94633,12415.0,12364.4,12587.7,12629.45,12619.56,12011.87,11541.71,44.33929648232288,13008.18445842696,12629.45,12250.715541573041,-59.21744926648353,3.1645252219879225,-62.38197448847145,181.56012340675417,16.039566669007126,11.285957618002037,185.0
2020-09-29,12478.0,12522.0,12395.0,12421.0,6.0,0.05,103096,12421.0,12347.2,12545.8,12615.95,12622.2,12027.12,11546.3,44.49396902080428,13004.078058764097,12615.95,12227.821941235905,-62.82156026616394,-10.032691875642453,-52.788868390521486,177.66297173484318,28.536250895571456,18.0581698717161,-7.0
2020-09-30,12456.0,12548.0,12444.0,12472.0,51.0,0.41,107766,12473.0,12336.0,12502.5,12605.0,12625.02,12042.01,11550.67,46.53400145531244,12996.384210207852,12605.0,12213.615789792148,-60.861002670286325,-20.198354034571228,-40.6626486357151,174.04418803949724,40.8755348741188,28.48378414623249,43.0
2020-10-05,12577.0,12620.0,12486.0,12529.0,56.0,0.45,93958,12529.0,12406.8,12473.8,12594.85,12629.84,12058.65,11555.255,48.79898390533248,12983.049574961085,12594.85,12206.650425038915,-54.08437204479742,-26.975557636616468,-27.10881440818095,172.18388889381887,46.65853446501862,38.690106744902984,156.0
